datetime,price_EOM,Line_N_N_congestion_signal,Line_N_S_1_congestion_signal,Line_N_S_2_congestion_signal
2019-01-01 00:00:00,23.3333,0.65,1,1
2019-01-01 01:00:00,23.3333,0.65,1,1
2019-01-01 02:00:00,23.3333,0.65,1,1
2019-01-01 03:00:00,23.3333,0.65,1,1
2019-01-01 04:00:00,23.3333,0.65,1,1
2019-01-01 05:00:00,23.3333,0.65,1,1
2019-01-01 06:00:00,23.3333,0.65,1,1
2019-01-01 07:00:00,23.3333,0.65,1,1
2019-01-01 08:00:00,23.3333,0.65,1,1
2019-01-01 09:00:00,23.3333,0.65,1,1
2019-01-01 10:00:00,23.3333,0.65,1,1
2019-01-01 11:00:00,23.3333,0.65,1,1
2019-01-01 12:00:00,23.3333,0.65,1,1
2019-01-01 13:00:00,23.3333,0.65,1,1
2019-01-01 14:00:00,23.3333,0.65,1,1
2019-01-01 15:00:00,23.3333,0.65,1,1
2019-01-01 16:00:00,23.3333,0.65,1,1
2019-01-01 17:00:00,23.3333,0.65,1,1
2019-01-01 18:00:00,23.3333,0.65,1,1
2019-01-01 19:00:00,23.3333,0.65,1,1
2019-01-01 20:00:00,23.3333,0.65,1,1
2019-01-01 21:00:00,23.3333,0.65,1,1
2019-01-01 22:00:00,23.3333,0.65,1,1
2019-01-01 23:00:00,23.3333,0.65,1,1
2019-01-02 00:00:00,23.3333,0.65,1,1
2019-01-02 01:00:00,24,0.55,1,1
2019-01-02 02:00:00,23.6667,0.45,1,1
2019-01-02 03:00:00,24.3333,0.35,1,1
2019-01-02 04:00:00,24.6667,0.25,1,1
2019-01-02 05:00:00,25,0.15,1,1
2019-01-02 06:00:00,25.6667,0.05,1,1
2019-01-02 07:00:00,25.3333,-0.0666667,1,1
2019-01-02 08:00:00,28,-0.2,1,0.844444
2019-01-02 09:00:00,28,-0.333333,1,0.666667
2019-01-02 10:00:00,29,-0.466667,1,0.488889
2019-01-02 11:00:00,29,-0.6,1,0.311111
2019-01-02 12:00:00,29,-0.733333,1,0.133333
2019-01-02 13:00:00,29,-0.866667,1,-0.0571429
2019-01-02 14:00:00,29,-1,1,-0.285714
2019-01-02 15:00:00,30,-1,0.92,-0.4
2019-01-02 16:00:00,30,-1,0.84,-0.514286
2019-01-02 17:00:00,30,-1,0.76,-0.628571
2019-01-02 18:00:00,30,-1,0.68,-0.742857
2019-01-02 19:00:00,30,-1,0.6,-0.857143
2019-01-02 20:00:00,31,-1,0.52,-0.971429
2019-01-02 21:00:00,31,-0.9,0.38,-1
2019-01-02 22:00:00,31,-0.766667,0.22,-1
2019-01-02 23:00:00,31,-0.633333,0.06,-1
2019-01-03 00:00:00,23.3333,0.65,1,1
2019-01-03 01:00:00,24,0.55,1,1
2019-01-03 02:00:00,23.6667,0.45,1,1
2019-01-03 03:00:00,24.3333,0.35,1,1
2019-01-03 04:00:00,24.6667,0.25,1,1
2019-01-03 05:00:00,25,0.15,1,1
2019-01-03 06:00:00,25.6667,0.05,1,1
2019-01-03 07:00:00,25.3333,-0.0666667,1,1
2019-01-03 08:00:00,28,-0.2,1,0.844444
2019-01-03 09:00:00,28,-0.333333,1,0.666667
2019-01-03 10:00:00,29,-0.466667,1,0.488889
2019-01-03 11:00:00,29,-0.6,1,0.311111
2019-01-03 12:00:00,29,-0.733333,1,0.133333
2019-01-03 13:00:00,29,-0.866667,1,-0.0571429
2019-01-03 14:00:00,29,-1,1,-0.285714
2019-01-03 15:00:00,30,-1,0.92,-0.4
2019-01-03 16:00:00,30,-1,0.84,-0.514286
2019-01-03 17:00:00,30,-1,0.76,-0.628571
2019-01-03 18:00:00,30,-1,0.68,-0.742857
2019-01-03 19:00:00,30,-1,0.6,-0.857143
2019-01-03 20:00:00,31,-1,0.52,-0.971429
2019-01-03 21:00:00,31,-0.9,0.38,-1
2019-01-03 22:00:00,31,-0.766667,0.22,-1
2019-01-03 23:00:00,31,-0.633333,0.06,-1
2019-01-04 00:00:00,31,-0.633333,0.06,-1
